            t             I           Ierr
------------- ------------- --------------
96.5417304376 26.2686520985  0.13478661306
85.7496021094 26.7039763927 0.138503508486
86.2079296287 26.6881851595 0.140620876142
93.4867899171 26.7265373691 0.170453259443
89.6185386013 26.9875570904 0.208145195222
91.7778139025 26.9293810275 0.186661194979
87.3185408906 26.7641273648  0.15194904449
88.3926107938 26.6965371966 0.175008454647
92.5282835944 26.9302322377 0.171388372661
94.1719809321  26.459798034 0.146625570151
88.8323535811 26.6027583633 0.186850396496
85.9990942858 26.4822654396  0.13948842444
90.3517979958 26.9859367145 0.222378576658
93.4643636835 26.6943086079 0.170860373299
96.6804472295 26.4238173139 0.134803513745
 95.268884999 26.5071988041 0.134766330117
91.4305175815 26.7912122189 0.199846824053
86.9344554507 26.7334706389 0.146996654388
90.6521139311 26.9901604672 0.221779975273
96.1008592251 26.3530148967 0.134737125671
85.9939542982  26.705571493 0.139464334059
96.3304757931 26.5595849616 0.134762354228
97.1538887745 26.4157892091 0.134880413008
95.2258120109  26.482907952 0.134784251586
91.1841274106 26.8098530883 0.209076404735
   87.0232466 26.4562328311 0.148030251785
 92.473800585 26.9228911711 0.171671672802
87.9955140444 27.0825237458 0.164889464308
 93.041545987 26.6880977064 0.172721745375
97.8924701529 26.5214733217 0.135121483987
86.9624338524 26.5625426683 0.147315984563
99.2529120032 26.6114589064 0.136563587241
92.7758974573 26.9483203948 0.171432193456
 89.648652193 27.1339657269 0.208951998484
98.0028899383 26.2371870883 0.135176534262
88.0056860141  26.746440407  0.16513074304
90.1570575437 26.6981423751 0.220284257846
90.2361169949 26.9862163783 0.221342971276
88.5613735298 26.5747864299 0.179547787897
99.5812617046 26.4916603897 0.137104401043
98.7614807957 26.5911736367  0.13583536128
93.7477450779 26.5501776354 0.163112612774
89.0168252617  26.661801421 0.191800224571
99.7101098816 26.4445002268 0.137330928184
86.1493172843 26.5247923307 0.140271884708
97.8495171075 26.6332444106 0.135101816923
92.4660759239 26.5048460602 0.171721786766
98.2835217486 26.4969778401 0.135353778423
85.7401282652 26.4935179059 0.138472811226
85.7063441818  26.628441913 0.138366797093
86.4389651351 26.5699883022 0.142242216074
 95.485261717 26.4130788382  0.13471734491
99.4935028341 26.5227256217 0.136956648263
92.4397770687 26.9978961663 0.171911429383
 91.352969201 27.4555060427 0.202853956243
98.1984210716 26.3334363878 0.135293386149
89.5992915056   26.88932435 0.207626598331
91.0172001284 26.8392432844 0.214435004766
96.7563213197  26.369772337 0.134813425715
94.4618676337 26.6759098475 0.138966405371
99.7342646519 26.4135405508 0.137375310085
91.4931887202 26.9195518129 0.197392591443
86.1010021718 26.6301579387 0.140002779635
97.7767082236 26.6221374563 0.135070459499
95.5661570851 26.6423569554 0.134710544473
91.6910631008  27.070647644 0.189790042477
95.0503070393 26.4613898657 0.134915630064
97.6359635561 26.1795267121 0.135016109361
93.4189550765 26.7332177286  0.17157093776
95.0895912755 26.1788424168 0.134874925534
93.5459141418 26.9737715088   0.1692006547
 96.393607496 26.2973248873 0.134769506582
 89.023707841  27.226904816 0.191985032754
88.3675036107 26.8573850148 0.174338743691
96.4900547733 26.3581613792 0.134780574632
94.3659422216  26.484039083 0.140950996818
96.5648939592  26.125034959 0.134789355205
87.0553771108 26.7591823988 0.148419210038
97.5501387043 26.0692735683 0.134986573126
91.6830162914 27.1813517321 0.190088728936
 86.424828974 26.6439043505 0.142131757608
96.6805581898 26.3759119151 0.134803527824
94.2497103833 26.7414507647 0.144093239402
86.1530630704 26.5338556637 0.140293444343
92.2973702652 26.9694740272 0.173468677061
 97.233820304 26.3703342426 0.134898159793
90.9104421346 26.7528838421 0.217275804896
90.3332736727 27.2298921519 0.222256616909
99.5321198957 26.5585037725 0.137021214518
96.5574593484 26.5487321291 0.134788472336
 99.383550464 26.1997967016 0.136775436682
89.8320693748  27.114633098 0.213669794191
86.2254642258 26.4761586308 0.140730145817
93.6851146713 26.6862751287 0.165271031736
89.1044206787 26.7929291015 0.194155592229
90.6766606419 27.0032746708 0.221508240995
95.6990810398   26.41416606 0.134708132467
89.7147495275 26.6844757264 0.210697586368
97.1976260709  26.407313495 0.134889912642
89.2383431984 26.9455228573 0.197777550848
93.1697953591 26.9249193993 0.173069870099
97.5467984862 26.4363846676  0.13498547491
93.1096310225  26.740553624 0.172966737951
94.4948705812 26.3668472905 0.138405819318
89.7787625242 26.9525655321 0.212343533878
87.9952806906 26.5996089288 0.164883943502
93.5974035762 27.0959518114 0.167901307836
99.2643933441 26.4773213218 0.136582063749
86.4400060149 26.6214585926  0.14225040673
98.3753010046  26.364354454 0.135426614173
 86.895104193 26.7659447241 0.146557103817
96.8866600857 26.5167117304 0.134832145983
90.8152344005 26.9506601926 0.219348505576
 85.811963274 26.3767040251 0.138716780251
96.8863641449 26.1256299754 0.134832100528
86.8945023053  26.363724421  0.14655046647
98.8077132885 26.3871600077 0.135895685247
95.2144407308 26.3442159105 0.134789652144
89.3470032763 26.8090299266 0.200738993415
90.5734695063  26.731097412 0.222421545084
 93.537115969 26.8359415722 0.169403448199
99.7045828922 26.4992133189 0.137320875179
97.7571139916 26.5115839773 0.135062418249
